Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"6p6.7s"	"2S"	"1/2"	""	"0.000000000"	""	"0.000000009"	"L12264"
"6p6.7p"	"2P*"	"1/2"	""	"0.055757738"	""	"0.000000009"	"L6679"
"6p6.7p"	"2P*"	"3/2"	""	"0.063442403"	""	"0.000000009"	"L6679"
"6p6.6d"	"2D"	"3/2"	""	"0.07394873"	""	"0.00000014"	"L11797"
"6p6.6d"	"2D"	"5/2"	""	"0.07485895"	""	"0.00000014"	"L11797"
"6p6.8s"	"2S"	"1/2"	""	"0.08994197"	""	"0.00000014"	"L11797"
"6p6.8p"	"2P*"	"1/2"	""	"0.105310394"	""	"0.000000023"	"L6731"
"6p6.8p"	"2P*"	"3/2"	""	"0.107795174"	""	"0.000000018"	"L6731"
"6p6.7d"	"2D"	"3/2"	""	"0.11046393"	""	"0.00000014"	"L11797"
"6p6.7d"	"2D"	"5/2"	""	"0.11086899"	""	"0.00000014"	"L11797"
"6p6.9s"	"2S"	"1/2"	""	"0.11696568"	""	"0.00000018"	"L11797"
"6p6.9p"	"2P*"	"1/2"	""	"0.12355966"	""	"0.00000023"	"L11797"
"6p6.9p"	"2P*"	"3/2"	""	"0.12468958"	""	"0.00000023"	"L11797"
"6p6.8d"	"2D"	"3/2"	""	"0.12575785"	""	"0.00000003"	"L10714"
"6p6.8d"	"2D"	"5/2"	""	"0.12596159"	""	"0.00000003"	"L10714"
"6p6.10s"	"2S"	"1/2"	""	"0.12899266"	""	"0.00000003"	"L10714"
"6p6.10p"	"2P*"	"1/2"	""	"0.13242615"	""	"0.00000023"	"L11797"
"6p6.10p"	"2P*"	"3/2"	""	"0.13303629"	""	"0.00000023"	"L11797"
"6p6.9d"	"2D"	"3/2"	""	"0.13357579"	""	"0.00000003"	"L10714"
"6p6.9d"	"2D"	"5/2"	""	"0.13369116"	""	"0.00000003"	"L10714"
"6p6.11s"	"2S"	"1/2"	""	"0.13540931"	""	"0.00000003"	"L10714"
"6p6.11p"	"2P*"	"1/2"	""	"0.13742395"	""	"0.00000023"	"L11797"
"6p6.11p"	"2P*"	"3/2"	""	"0.13779087"	""	"0.00000023"	"L11797"
"6p6.10d"	"2D"	"3/2"	""	"0.13810235"	""	"0.00000003"	"L10669"
"6p6.10d"	"2D"	"5/2"	""	"0.13817362"	""	"0.00000003"	"L10669"
"6p6.12s"	"2S"	"1/2"	""	"0.13923935"	""	"0.00000003"	"L10669"
"6p6.12p"	"2P*"	"1/2"	""	"0.14052184"	""	"0.00000023"	"L11797"
"6p6.12p"	"2P*"	"3/2"	""	"0.14075959"	""	"0.00000023"	"L11797"
"6p6.11d"	"2D"	"3/2"	""	"0.14095627"	""	"0.00000003"	"L10669"
"6p6.11d"	"2D"	"5/2"	""	"0.14100328"	""	"0.00000003"	"L10669"
"6p6.13s"	"2S"	"1/2"	""	"0.14170904"	""	"0.00000003"	"L10669"
"6p6.13p"	"2P*"	"1/2"	""	"0.14257557"	""	"0.00000023"	"L11797"
"6p6.13p"	"2P*"	"3/2"	""	"0.14273841"	""	"0.00000023"	"L11797"
"6p6.12d"	"2D"	"3/2"	""	"0.14287075"	""	"0.00000003"	"L10669"
"6p6.12d"	"2D"	"5/2"	""	"0.14290333"	""	"0.00000003"	"L10669"
"6p6.14s"	"2S"	"1/2"	""	"0.14339455"	""	"0.00000003"	"L10669"
"6p6.14p"	"2P*"	"1/2"	""	"0.14400730"	""	"0.00000023"	"L11797"
"6p6.14p"	"2P*"	"3/2"	""	"0.14412367"	""	"0.00000023"	"L11797"
"6p6.13d"	"2D"	"3/2"	""	"0.14421712"	""	"0.00000003"	"L10669"
"6p6.13d"	"2D"	"5/2"	""	"0.14424061"	""	"0.00000003"	"L10669"
"6p6.15s"	"2S"	"1/2"	""	"0.14459613"	""	"0.00000003"	"L10669"
"6p6.15p"	"2P*"	"1/2"	""	"0.14504528"	""	"0.00000023"	"L11797"
